月份,产品,营收,成本,利润
1月,云端协作,100000,60000,40000
1月,企业服务,107300,62900,44400
1月,数据智能,114600,65800,48800
1月,云端协作,121900,68700,53200
1月,企业服务,129200,71600,57600
1月,数据智能,136500,74500,62000
2月,云端协作,143800,77400,66400
2月,企业服务,151100,80300,70800
2月,数据智能,158400,83200,75200
2月,云端协作,165700,86100,79600
2月,企业服务,173000,89000,84000
2月,数据智能,180300,91900,88400
月份,产品,营收,成本,利润
3月,云端协作,187600,94800,92800
3月,企业服务,194900,97700,97200
3月,数据智能,202200,100600,101600
3月,云端协作,209500,103500,106000
3月,企业服务,216800,106400,110400
3月,数据智能,224100,109300,114800
4月,云端协作,231400,112200,119200
4月,企业服务,238700,115100,123600
4月,数据智能,246000,118000,128000
4月,云端协作,253300,120900,132400
4月,企业服务,260600,123800,136800
4月,数据智能,267900,126700,141200
月份,产品,营收,成本,利润
5月,云端协作,275200,129600,145600
5月,企业服务,282500,132500,150000
5月,数据智能,289800,135400,154400
5月,云端协作,297100,138300,158800
5月,企业服务,304400,141200,163200
5月,数据智能,311700,144100,167600
6月,云端协作,319000,147000,172000
6月,企业服务,326300,149900,176400
6月,数据智能,333600,152800,180800
6月,云端协作,340900,155700,185200
6月,企业服务,348200,158600,189600
6月,数据智能,355500,161500,194000
合计,,8199000,3987000,4212000
